id;Name;Description;Type;Year;Rating;Director;Genres;Image;startDate;endDate;webLink;netflixLink;Duration
81210670;"Dünyadan Haberler";"Kasaba kasaba gezerek haberleri okuyan, Amerikan İç Savaşı gazisi bir adam yetim bir kıza yeni bir yuva bulmak için Teksas'ta tehlikeli bir yolculuğa çıkar.";Movie;2021;6.8;"Paul Greengrass";"Drama, Western";...;2021-02-11;NULL;https://turflix.com/film/duenyadan-haberler-81210670;https://www.netflix.com/title/81210670;118
80210932;"22 July";"Norveç'teki terör saldırılarının ardından olayı bizzat yaşayan bir genç, yaslı aileler ve bir ulus, adalet ve toparlanma için birlik olur. Gerçek bir olaydan uyarlandı.";Movie;2018;6.8;"Paul Greengrass";"Suç, Drama, Gerilim";...;2018-10-10;NULL;https://turflix.com/film/22-july-80210932;https://www.netflix.com/title/80210932;144
80232926;Ragnarok;"Kirliliğin zehirlediği ve eriyen buzulların sarstığı bir Norveç kasabası, kıyameti yoğun biçimde hissetmektedir. Kadim bir kötülüğü alt etmek için bir efsane gereklidir.";TVSeries;2020;7.5;NULL;"Diziler, Aksiyon & Macera, Drama, Gerilim";...;2020-01-31;NULL;https://turflix.com/dizi/ragnarok-80232926;https://www.netflix.com/title/80232926;2
81019792;Bloodride;"Bu keyif verici derecede dehşetli korku antolojisi dizisinde, tekinsiz bir otobüsün talihsiz yolcuları, bilinmeyen korkunç bir destinasyona doğru yol alıyor.";TVSeries;2020;6.4;NULL;"Diziler, Korku, Gerilim";...;2020-03-13;NULL;https://turflix.com/dizi/bloodride-81019792;https://www.netflix.com/title/81019792;1
80174617;Borderliner;"Bir polis dedektifi, ailesini korumak için bir cinayet vakasını örtbas eder. Ama ortağı durumdan şüphelenince, görev esnasında tehlikeli bir oyunun içine düşer.";TVSeries;2017;6.8;NULL;"Diziler, Suç, Drama, Gerilim";...;2018-03-06;NULL;https://turflix.com/dizi/borderliner-80174617;https://www.netflix.com/title/80174617;1
80074249;"The Last Kingdom";"Büyük Alfred, krallığını İskandinavyalı istilacılara karşı savunurken, Sakson olarak doğup Vikingler tarafından yetiştirilen Uhtred, doğuştan gelen hakkını arar.";TVSeries;2015;8.4;NULL;"Diziler, Aksiyon & Macera, Drama, Tarihi";...;2015-12-28;NULL;https://turflix.com/dizi/the-last-kingdom-80074249;https://www.netflix.com/title/80074249;4
81254008;"Ufuk Çizgisi";"Bir arkadaşlarının adadaki düğününe giden eski sevgililer Sara ve Jackson, kendilerini denizin binlerce metre üstünde bir ölüm kalım mücadelesinin ortasında bulur.";Movie;2021;4.7;"Mikael Marcimain";"Aksiyon, Macera, Gerilim";...;2021-01-20;NULL;https://turflix.com/film/ufuk-cizgisi-81254008;https://www.netflix.com/title/81254008;91
80050008;"Talihsiz Serüvenler Dizisi";"Uzun süre gizlenmiş aile sırlarını ortaya çıkarma arayışlarında, Baudelaire yetimlerinin önünde sıkıntılar, badireler ve kötü kalpli Kont Olaf durmaktadır.";TVSeries;2017;7.8;NULL;"Diziler, Aksiyon & Macera, Komedi, Aile & Çocuk, Drama";...;2017-01-13;NULL;https://turflix.com/dizi/talihsiz-seruevenler-dizisi-80050008;https://www.netflix.com/title/80050008;3
80992783;Eden;"Robotlar tarafından gizlice büyütülen bir kız çocuğu, insanlığın neredeyse tamamen yok olduğu ütopik dünyasının ardındaki karanlık sırları ortaya çıkarmaya başlar.";TVSeries;2021;6.6;NULL;"Diziler, Animasyon, Drama";...;2021-05-27;NULL;https://turflix.com/dizi/eden-80992783;https://www.netflix.com/title/80992783;1
80992853;"Ingress: The Animation";"Bilim insanlarının insan zihnini etkileyebilecek gizemli bir madde bulmasının ardından iki fraksiyon, maddenin müthiş gücünü kontrol etmek için topyekûn savaşa girer.";TVSeries;2018;NULL;NULL;"Diziler, Aksiyon & Macera, Animasyon, Suç, Bilim Kurgu & Fantastik";...;2018-10-18;NULL;https://turflix.com/dizi/ingress-the-animation-80992853;https://www.netflix.com/title/80992853;1
80180376;"GODZILLA City on the Edge of Battle";"Dünya'da Haruo ve arkadaşları, yerli Houtua kabilesiyle görüşür. Godzilla'yı yenmek için eski Mekagodzilla tesisine doğru yola çıkarlar.";Movie;2018;5.8;"Kobun Shizuno";"Aksiyon, Macera, Animasyon, Bilim kurgu";...;2018-07-18;NULL;https://turflix.com/film/godzilla-city-on-the-edge-of-battle-80180376;https://www.netflix.com/title/80180376;100
80198623;"GODZILLA The Planet Eater";"Dünya ittifakının zayıflaması, Haruo'nun Exif'ten taraf olmayı düşünmesine neden olur. Exif'in ölüm tarikatı ise Dünya'yı yok edebilecek bir canavar çağırmaktadır.";Movie;2018;5.1;"Kobun Shizuno";"Aksiyon, Macera, Animasyon, Fantastik, Bilim kurgu";...;2019-01-09;NULL;https://turflix.com/film/godzilla-the-planet-eater-80198623;https://www.netflix.com/title/80198623;90
80115466;BLAME!;"Kendine kendine genişleyen ve tüm yaşamı yok eden uçsuz bucaksız bir şehirde, gizemli ve yalnız bir adam, geride kalanlara yol göstererek ederek insanlığı kurtarmalıdır.";Movie;2017;6.5;"Hiroyuki Seshita";"Aksiyon, Macera, Animasyon";...;2017-05-20;NULL;https://turflix.com/film/blame-80115466;https://www.netflix.com/title/80115466;106
80183051;7SEEDS;"Utangaç Natsu, insanlığın devamını sağlamak için seçilmiş bir grubun üyesi olarak uyanır. Bambaşka bir Dünya'da bu grupla birlikte hayatta kalması gerekir.";TVSeries;2019;6.4;NULL;"Diziler, Animasyon, Drama, Bilim Kurgu & Fantastik";...;2019-06-28;NULL;https://turflix.com/dizi/7seeds-80183051;https://www.netflix.com/title/80183051;2
80221272;"LAST HOPE";"Yedi yıl önce insanlığın soyunun neredeyse tamamen tükenmesine neden olan dâhi bilim insanı Leon Lau, şimdi istemeden yarattığı ekolojik felakete karşı savaşmalıdır.";TVSeries;2018;NULL;NULL;"Diziler, Aksiyon & Macera, Animasyon, Drama, Bilim Kurgu & Fantastik";...;2018-03-29;NULL;https://turflix.com/dizi/last-hope-80221272;https://www.netflix.com/title/80221272;2
